i		j				x				y				z
1		32				0.919				-0.771				-1
1		33				1.04				-0.6				-1
1		34				1.13				-0.41				-1
1		35				1.18				-0.208				-1
1		36				1.2				2.1e-07				-1
2		0				1.2				0				1
2		1				1.18				0.208				1
2		2				1.13				0.41				1
2		3				1.04				0.6				1
2		4				0.919				0.771				1
2		5				0.771				0.919				1
2		6				0.6				1.04				1
2		7				0.41				1.13				1
2		8				0.208				1.18				1
2		9				-5.25e-08				1.2				1
2		10				-0.208				1.18				1
2		11				-0.41				1.13				1
2		12				-0.6				1.04				1
2		13				-0.771				0.919				1
2		14				-0.919				0.771				1
2		15				-1.04				0.6				1
2		16				-1.13				0.41				1
2		17				-1.18				0.208				1
2		18				-1.2				-1.05e-07				1
2		19				-1.18				-0.208				1
2		20				-1.13				-0.41				1
2		21				-1.04				-0.6				1
2		22				-0.919				-0.771				1
2		23				-0.771				-0.919				1
2		24				-0.6				-1.04				1
2		25				-0.41				-1.13				1
2		26				-0.208				-1.18				1
2		27				5.87e-07				-1.2				1
2		28				0.208				-1.18				1
2		29				0.41				-1.13				1
2		30				0.6				-1.04				1
2		31				0.771				-0.919				1
2		32				0.919				-0.771				1
2		33				1.04				-0.6				1
2		34				1.13				-0.41				1
2		35				1.18				-0.208				1
2		36				1.2				2.1e-07				1
2		0				1.2				0				0.5
2		1				1.18				0.208				0.5
2		2				1.13				0.41				0.5
2		3				1.04				0.6				0.5
2		4				0.919				0.771				0.5
2		5				0.771				0.919				0.5
2		6				0.6				1.04				0.5
2		7				0.41				1.13				0.5
2		8				0.208				1.18				0.5
2		9				-5.25e-08				1.2				0.5
2		10				-0.208				1.18				0.5
2		11				-0.41				1.13				0.5
2		12				-0.6				1.04				0.5
2		13				-0.771				0.919				0.5
2		14				-0.919				0.771				0.5
2		15				-1.04				0.6				0.5
2		16				-1.13				0.41				0.5
2		17				-1.18				0.208				0.5
2		18				-1.2				-1.05e-07				0.5
2		19				-1.18				-0.208				0.5
2		20				-1.13				-0.41				0.5
2		21				-1.04				-0.6				0.5
2		22				-0.919				-0.771				0.5
